State,County,prop_male,prop_female,white_male,white_female,black_male,black_female,native_am_male,native_am_female,aa_male,aa_female,native_ha_male,native_ha_female,hisp_male,hisp_female
Alabama,Autauga County,0.4849200809035422,0.5150799190964578,0.3604503391863108,0.37725751311102756,0.09255580017541033,0.10608745458125257,0.0018793964452558664,0.0024700638994791385,0.005047521881544327,0.0065152410102203365,3.5798027528683167e-4,3.5798027528683167e-4,0.01582272816767796,0.014086523832536828
Alabama,Baldwin County,0.48490373330227476,0.5150962666977252,0.4024700538448444,0.4296030174614978,0.04169615739537884,0.044379440407823184,0.003373142084091133,0.003377621688452476,0.0040809195731832965,0.006428232258526927,2.3741903115116872e-4,3.1357230529399644e-4,0.02483940618364586,0.02234874615873926
Alabama,Barbour County,0.5292068378838208,0.4707931621161792,0.23875881066191362,0.21635744956655595,0.25358502795106536,0.22470226039050473,0.0021064571011909583,0.0017418779875232925,0.002227983472413514,0.002471036214858624,8.506845985578871e-4,4.0508790407518434e-4,0.025480029166329094,0.019768289718868993
Alabama,Bibb County,0.5326873269625793,0.46731267303742074,0.37876216843797444,0.36532106814325266,0.13003483075823882,0.08069125658658569,0.002232740912744485,0.0018308475484504778,9.377511833526837e-4,0.0011163704563722425,2.232740912744485e-4,4.4654818254889704e-5,0.015316602661427169,0.012503349111369117
Alabama,Blount County,0.49237367274236504,0.507626327257635,0.4235810880918618,0.44412547988793966,0.007833846366686265,0.0072458755577076055,0.002472936049527894,0.0024037630131774636,0.0012624079133953586,0.0015563933178846885,2.4210562722650712e-4,1.2105281361325356e-4,0.05101511430844257,0.045515857918583334
Alabama,Bullock County,0.5452925452925453,0.4547074547074547,0.13365013365013365,0.07632907632907633,0.36006336006336004,0.3307593307593308,8.91000891000891e-4,0.001584001584001584,7.92000792000792e-4,7.92000792000792e-4,2.97000297000297e-4,1.98000198000198e-4,0.044451044451044454,0.04108504108504109
Alabama,Butler County,0.4640065816536405,0.5359934183463595,0.24321266968325791,0.2677396133278486,0.19791238173591114,0.24840600575894695,0.00195392842451666,0.0017482517482517483,0.008329905388728917,0.0055532702591526125,1.5425750719868367e-4,2.0567667626491157e-4,0.007867132867132868,0.006993006993006993
Alabama,Calhoun County,0.4795651599841556,0.5204348400158444,0.3466132652612121,0.3704678491263589,0.09711720434840015,0.11286475067118525,0.0021477927908102636,0.0020069539192817216,0.003371330487214471,0.005316667400202456,4.6652876193829497e-4,4.577263324677611e-4,0.020756128691518858,0.019858280885524406
Alabama,Chambers County,0.47798761051302097,0.522012389486979,0.2656823239309557,0.2855596319239791,0.1844289408792927,0.21344800625488664,0.0012028628134961208,0.0012630059541709267,0.0067961748962530825,0.003909304143862392,1.2028628134961207e-4,1.2028628134961207e-4,0.014193781199254225,0.011998556564623805
Alabama,Cherokee County,0.4934341120781799,0.5065658879218201,0.4517101847610322,0.46499465567262177,0.021262788211940754,0.01954496869751107,0.003092075125973431,0.002977553825011452,0.001374255611543747,0.0023667735532142313,3.817376698732631e-5,0,0.008741792640097725,0.008398228737211789
